check,value
panel_label,strict
base_rows,1633
output_rows,1633
row_count_preserved,1
base_repositories,220
detector_repo_month_rows,3043
matched_base_rows,1633
unmatched_base_rows,0
detector_only_rows,1410
duplicate_output_keys,0
min_time,2024-01
max_time,2025-08
treatment_rows,853
control_rows,780
agc_failure_count_sum,0
paper_covariate_matched_rows,1618
python_snapshot_ncloc_matched_rows,1633
analysis_ready_agc_paper_ncloc_rows,1568
analysis_ready_agc_python_snapshot_ncloc_rows,1568
ncloc_paper_nonmissing,1596
ncloc_python_snapshot_nonmissing,1633
agc_top_level_block_ratio_nonmissing,1581
agc_top_level_block_ratio_missing,52
agc_top_level_block_ratio_mean,0.24006370693516077
agc_top_level_block_ratio_median,0.22580645161290322
agc_function_block_ratio_nonmissing,1566
agc_function_block_ratio_missing,67
agc_function_block_ratio_mean,0.27898669872409254
agc_function_block_ratio_median,0.23870215335915698
agc_class_block_ratio_nonmissing,1475
agc_class_block_ratio_missing,158
agc_class_block_ratio_mean,0.21049455608166773
agc_class_block_ratio_median,0.2
