repo_name,time,scan_group,paper_match_status,metric,paper_value,our_value,diff,abs_diff,identical
zauberzeug/nicegui,2025-04,treatment,both,ncloc,211510.0,78118.0,-133392.0,133392.0,False
PostHog/posthog,2025-04,treatment,both,ncloc,937017.0,1025455.0,88438.0,88438.0,False
PostHog/posthog,2025-08,treatment,both,ncloc,1232071.0,1313277.0,81206.0,81206.0,False
PostHog/posthog,2025-07,treatment,both,ncloc,1155675.0,1224250.0,68575.0,68575.0,False
PostHog/posthog,2025-06,treatment,both,ncloc,1079135.0,1143141.0,64006.0,64006.0,False
zauberzeug/nicegui,2025-04,treatment,both,technical_debt,193776.0,136929.0,-56847.0,56847.0,False
PostHog/posthog,2025-05,treatment,both,ncloc,1021926.0,1075854.0,53928.0,53928.0,False
PostHog/posthog,2025-03,treatment,both,ncloc,936364.0,981233.0,44869.0,44869.0,False
PostHog/posthog,2025-02,treatment,both,ncloc,896790.0,933176.0,36386.0,36386.0,False
zauberzeug/nicegui,2025-02,treatment,both,technical_debt,193727.0,229531.0,35804.0,35804.0,False
zauberzeug/nicegui,2025-01,treatment,both,technical_debt,193727.0,229522.0,35795.0,35795.0,False
zauberzeug/nicegui,2025-03,treatment,both,technical_debt,193770.0,229554.0,35784.0,35784.0,False
zauberzeug/nicegui,2024-12,treatment,both,technical_debt,193717.0,229487.0,35770.0,35770.0,False
zauberzeug/nicegui,2024-11,treatment,both,technical_debt,193701.0,229427.0,35726.0,35726.0,False
PostHog/posthog,2025-01,treatment,both,ncloc,837418.0,870221.0,32803.0,32803.0,False
PostHog/posthog,2024-12,treatment,both,ncloc,802199.0,832993.0,30794.0,30794.0,False
PostHog/posthog,2024-11,treatment,both,ncloc,776480.0,806559.0,30079.0,30079.0,False
zauberzeug/nicegui,2025-04,treatment,both,cognitive_complexity,94814.0,65372.0,-29442.0,29442.0,False
PostHog/posthog,2024-10,treatment,both,ncloc,748190.0,774018.0,25828.0,25828.0,False
wdm0006/elote,2024-08,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
wdm0006/elote,2024-12,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
wdm0006/elote,2025-02,treatment,both,cognitive_complexity,25342.0,275.0,-25067.0,25067.0,False
wdm0006/elote,2024-09,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
wdm0006/elote,2024-10,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
wdm0006/elote,2024-07,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
wdm0006/elote,2024-11,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
wdm0006/elote,2025-01,treatment,both,cognitive_complexity,25213.0,146.0,-25067.0,25067.0,False
PostHog/posthog,2024-09,treatment,both,ncloc,725600.0,748626.0,23026.0,23026.0,False
lancedb/lancedb,2025-08,control,both,ncloc,28931.0,51090.0,22159.0,22159.0,False
lancedb/lancedb,2025-07,control,both,ncloc,31373.0,53434.0,22061.0,22061.0,False
lancedb/lancedb,2025-06,control,both,ncloc,30612.0,52330.0,21718.0,21718.0,False
lancedb/lancedb,2025-05,control,both,ncloc,30103.0,51641.0,21538.0,21538.0,False
lancedb/lancedb,2025-04,control,both,ncloc,29375.0,50737.0,21362.0,21362.0,False
PostHog/posthog,2024-08,treatment,both,ncloc,695941.0,715660.0,19719.0,19719.0,False
lancedb/lancedb,2025-03,control,both,ncloc,28068.0,47274.0,19206.0,19206.0,False
zauberzeug/nicegui,2025-05,treatment,both,technical_debt,118922.0,136955.0,18033.0,18033.0,False
zauberzeug/nicegui,2025-06,treatment,both,technical_debt,118972.0,136975.0,18003.0,18003.0,False
zauberzeug/nicegui,2025-07,treatment,both,technical_debt,119151.0,137105.0,17954.0,17954.0,False
zauberzeug/nicegui,2025-08,treatment,both,technical_debt,119160.0,137112.0,17952.0,17952.0,False
lancedb/lancedb,2025-02,control,both,ncloc,26921.0,44605.0,17684.0,17684.0,False
DataDog/integrations-core,2025-01,treatment,both,technical_debt,35928.0,18884.0,-17044.0,17044.0,False
DataDog/integrations-core,2025-02,treatment,both,technical_debt,35815.0,18781.0,-17034.0,17034.0,False
DataDog/integrations-core,2025-03,treatment,both,technical_debt,36164.0,19179.0,-16985.0,16985.0,False
DataDog/integrations-core,2025-04,treatment,both,technical_debt,36164.0,19262.0,-16902.0,16902.0,False
DataDog/integrations-core,2025-07,treatment,both,technical_debt,36876.0,20039.0,-16837.0,16837.0,False
DataDog/integrations-core,2025-08,treatment,both,technical_debt,37132.0,20324.0,-16808.0,16808.0,False
DataDog/integrations-core,2024-12,treatment,both,technical_debt,35613.0,18850.0,-16763.0,16763.0,False
DataDog/integrations-core,2024-11,treatment,both,technical_debt,35413.0,18688.0,-16725.0,16725.0,False
lancedb/lancedb,2025-01,control,both,ncloc,25744.0,42438.0,16694.0,16694.0,False
DataDog/integrations-core,2025-06,treatment,both,technical_debt,36392.0,19823.0,-16569.0,16569.0,False
DataDog/integrations-core,2025-05,treatment,both,technical_debt,36154.0,19633.0,-16521.0,16521.0,False
