check,value
panel_label,strict
input_rows,1633
output_rows,1633
row_count_preserved_in_full_output,1
repos,220
min_time,2024-01
max_time,2025-08
treatment_rows,853
control_rows,780
treatment_repos,100
control_repos,120
duplicate_repo_time_source_rows,0
analysis_ready_did_base_rows,1633
analysis_ready_core_quality_rows,1604
analysis_ready_quality_did_rows,1604
missing_core_quality_rows,29
treatment_time_to_event_nonmissing,853
control_time_to_event_nonmissing,0
post_event_sum,432
control_post_event_sum,0
treatment_post_event_sum,432
sonarqube_latest_commit_missing,0
sonarqube_any_raw_metric_missing_sum,29
sonarqube_all_raw_metrics_missing_sum,6
sonarqube_ncloc_zero_sum,0
sonarqube_static_warnings_missing_sum,6
sonarqube_duplicate_density_missing_sum,28
sonarqube_cognitive_complexity_missing_sum,29
sonarqube_quality_outcomes_complete_sum,1604
static_analysis_warnings_nonmissing,1627
static_analysis_warnings_missing,6
static_analysis_warnings_zero_count,56
static_analysis_warnings_mean,1002.5685310387215
static_analysis_warnings_median,128.0
duplicate_line_density_nonmissing,1605
duplicate_line_density_missing,28
duplicate_line_density_zero_count,455
duplicate_line_density_mean,6.362305295950156
duplicate_line_density_median,2.6
code_complexity_nonmissing,1604
code_complexity_missing,29
code_complexity_zero_count,2
code_complexity_mean,5169.276184538653
code_complexity_median,927.0
warnings_per_kloc_nonmissing,1605
warnings_per_kloc_missing,28
warnings_per_kloc_zero_count,34
warnings_per_kloc_mean,26.959110242889142
warnings_per_kloc_median,16.239687364307425
complexity_per_kloc_nonmissing,1604
complexity_per_kloc_missing,29
complexity_per_kloc_zero_count,2
complexity_per_kloc_mean,142.12774866639117
complexity_per_kloc_median,115.5039235908083
code_smells_per_kloc_nonmissing,1605
code_smells_per_kloc_missing,28
code_smells_per_kloc_zero_count,40
code_smells_per_kloc_mean,24.657314210889925
code_smells_per_kloc_median,15.299724103335842
technical_debt_nonmissing,1627
technical_debt_missing,6
technical_debt_zero_count,62
technical_debt_mean,6056.897357098956
technical_debt_median,727.0
ncloc_nonmissing,1605
ncloc_missing,28
ncloc_zero_count,0
ncloc_mean,57103.653582554514
ncloc_median,7639.0
duplicated_lines_density_nonmissing,1605
duplicated_lines_density_missing,28
duplicated_lines_density_zero_count,455
duplicated_lines_density_mean,6.362305295950156
duplicated_lines_density_median,2.6
comment_lines_density_nonmissing,1605
comment_lines_density_missing,28
comment_lines_density_zero_count,10
comment_lines_density_mean,15.322803738317758
comment_lines_density_median,12.5
cognitive_complexity_nonmissing,1604
cognitive_complexity_missing,29
cognitive_complexity_zero_count,2
cognitive_complexity_mean,5169.276184538653
cognitive_complexity_median,927.0
bugs_nonmissing,1627
bugs_missing,6
bugs_zero_count,407
bugs_mean,39.83712354025814
bugs_median,4.0
vulnerabilities_nonmissing,1627
vulnerabilities_missing,6
vulnerabilities_zero_count,800
vulnerabilities_mean,7.885064535955747
vulnerabilities_median,1.0
code_smells_nonmissing,1627
code_smells_missing,6
code_smells_zero_count,62
code_smells_mean,954.8463429625077
code_smells_median,115.0
log_static_analysis_warnings_nonmissing,1627
log_static_analysis_warnings_finite,1627
log_code_complexity_nonmissing,1604
log_code_complexity_finite,1604
log_technical_debt_nonmissing,1627
log_technical_debt_finite,1627
log_ncloc_nonmissing,1605
log_ncloc_finite,1605
log_bugs_nonmissing,1627
log_bugs_finite,1627
log_vulnerabilities_nonmissing,1627
log_vulnerabilities_finite,1627
log_code_smells_nonmissing,1627
log_code_smells_finite,1627
log_warnings_per_kloc_nonmissing,1605
log_warnings_per_kloc_finite,1605
log_complexity_per_kloc_nonmissing,1604
log_complexity_per_kloc_finite,1604
log_code_smells_per_kloc_nonmissing,1605
log_code_smells_per_kloc_finite,1605
complete_output_path,repo_python/did_final/panel_event_matched_strict_with_sonarqube_quality_did_input_complete.csv
complete_output_rows,1604
complete_output_repos,219
convert_paper_same_column,1
keep_overlap_paper_same_column,1
paper_same_column_output_path,repo_python/did_final/panel_event_matched_strict_with_sonarqube_quality_did_input_complete_paper_same_column_overlap.csv
paper_same_column_output_rows,1589
paper_same_column_matched_rows,1589
paper_same_column_unmatched_rows,15
paper_same_column_unmatched_output_path,repo_python/tmp/panel_event_matched_strict_with_sonarqube_quality_did_input_complete_paper_same_column_overlap_unmatched_repo_months.csv
